Assay	term	contrast	Day1	TR1	SRF1	Day2	TR2	SRF2	null.value	estimate	std.error	df	statistic	p.value	adj.p.value	Day	group1	group2	emmean1	emmean2	y_position	label	x_offset	x_pos
CXCL6	Day*Allocation*srf14	Day7 Anakinra No - Day7 Anakinra Yes	Day7	Anakinra	No	Day7	Anakinra	Yes	0	0.3328092797297972	0.12819459934006835	1107.8792842996204	2.5961255890892643	0.009552923703127306	0.022070547865845846	7	Anakinra.No	Anakinra.Yes	0.2628017557539588	-0.07000752397583837	0.4628017557539588	*	-0.15	2.85
CXCL10	Day*Allocation*srf14	Day1 Anakinra No - Day1 Anakinra Yes	Day1	Anakinra	No	Day1	Anakinra	Yes	0	-0.45140561871700785	0.10813549151743249	1134.179347637179	-4.174444600774177	3.215707297150975e-5	0.0010772619445455767	1	Anakinra.No	Anakinra.Yes	0.5625286787990743	1.013934297516082	1.213934297516082	**	-0.15	0.85
CXCL10	Day*Allocation*srf14	Day4 Anakinra No - Day4 Anakinra Yes	Day4	Anakinra	No	Day4	Anakinra	Yes	0	-0.4933707620264595	0.11052651839938668	1176.5313766180843	-4.463822521249319	8.8239601982148e-6	7.390066666004895e-5	4	Anakinra.No	Anakinra.Yes	-0.22477669046674534	0.26859407155971415	0.46859407155971416	***	-0.15	1.85
CXCL10	Day*Allocation*srf14	Day7 Anakinra No - Day7 Anakinra Yes	Day7	Anakinra	No	Day7	Anakinra	Yes	0	-0.6787421053664109	0.10982495378698447	1163.1804146708816	-6.18021753674391	8.840424841392365e-10	1.480771160933221e-8	7	Anakinra.No	Anakinra.Yes	-0.6414932775704029	0.03724882779600796	0.23724882779600798	***	-0.15	2.85
DNER	Day*Allocation*srf14	Day4 Anakinra No - Day4 Anakinra Yes	Day4	Anakinra	No	Day4	Anakinra	Yes	0	0.4108476174586026	0.12398494731844777	1095.7349719348376	3.313689494930103	9.508521676242179e-4	0.003033671201467743	4	Anakinra.No	Anakinra.Yes	0.09524456144821636	-0.31560305601038624	0.29524456144821637	**	-0.15	1.85
DNER	Day*Allocation*srf14	Day7 Anakinra No - Day7 Anakinra Yes	Day7	Anakinra	No	Day7	Anakinra	Yes	0	0.45123690336346367	0.12327166452973395	1082.4021986891082	3.6605079122187263	2.638654599666392e-4	9.821658787647126e-4	7	Anakinra.No	Anakinra.Yes	0.42131612803629553	-0.02992077532716813	0.6213161280362955	***	-0.15	2.85
EN-RAGE	Day*Allocation*srf14	Day1 Anakinra No - Day1 Anakinra Yes	Day1	Anakinra	No	Day1	Anakinra	Yes	0	-0.3437499985196872	0.1253566636827464	1229.78721143685	-2.7421757122513433	0.0061919127283985515	0.03649690091140628	1	Anakinra.No	Anakinra.Yes	-0.23373466513349916	0.11001533338618802	0.31001533338618803	*	-0.15	0.85
EN-RAGE	Day*Allocation*srf14	Day4 Anakinra No - Day4 Anakinra Yes	Day4	Anakinra	No	Day4	Anakinra	Yes	0	-0.8696653042860938	0.1283827416287269	1268.466447202938	-6.774004770836719	1.911936736304503e-11	1.280997613324017e-9	4	Anakinra.No	Anakinra.Yes	-0.30806067476363563	0.5616046295224582	0.7616046295224581	***	-0.15	1.85
EN-RAGE	Day*Allocation*srf14	Day7 Anakinra No - Day7 Anakinra Yes	Day7	Anakinra	No	Day7	Anakinra	Yes	0	-0.5225471108815327	0.12748728904171974	1256.035068032671	-4.0988173394331975	4.419132346016997e-5	2.1148704798795628e-4	7	Anakinra.No	Anakinra.Yes	0.006686670239560901	0.5292337811210936	0.7292337811210936	***	-0.15	2.85
CD40	Day*Allocation*srf14	Day7 Anakinra No - Day7 Anakinra Yes	Day7	Anakinra	No	Day7	Anakinra	Yes	0	-0.2904678007867864	0.12768139407725185	1167.9359177415995	-2.274942272411616	0.023090017820732105	0.04297308872191809	7	Anakinra.No	Anakinra.Yes	0.2115636110076004	0.5020314117943868	0.7020314117943869	*	-0.15	2.85
