Assay	Day	more_diff	more_p	more_p_adj	more_sig	UniProt	n_no	n_yes	median_no	median_yes	save_diff	save_p	save_p_adj	save_sig_fdr	save_sig_p	same_direction	overlap_fdr	overlap_p
IFN-gamma	7	0.2922444250052628	0.0128531239625727	0.02870531018307903	TRUE	P01579	130	17	0.8712500000000001	1.327	0.4557499999999999	0.09162143120868527	0.19502123128454796	FALSE	FALSE	TRUE	FALSE	FALSE
MMP-10	7	NA	NA	NA	NA	P09238	121	18	-0.3362	-0.03105	0.30515	0.09455574850159901	0.19502123128454796	FALSE	FALSE	FALSE	FALSE	FALSE
IL18	7	NA	NA	NA	NA	Q14116	121	18	0.9059	1.2404	0.3344999999999999	0.11319050481099442	0.22548980795979046	FALSE	FALSE	FALSE	FALSE	FALSE
HGF	7	0.5948546731639109	4.477505591082422e-6	2.7272079509320205e-5	TRUE	P14210	131	16	2.4987	3.4263	0.9276	0.11776229202424351	0.22548980795979046	FALSE	FALSE	TRUE	FALSE	FALSE
CXCL11	7	NA	NA	NA	NA	O14625	128	18	4.1648499999999995	4.5569500000000005	0.392100000000001	0.11957792846352525	0.22548980795979046	FALSE	FALSE	FALSE	FALSE	FALSE
4E-BP1	7	NA	NA	NA	NA	Q13541	127	16	3.6215	3.1274499999999996	-0.49405000000000054	0.15605254250423184	0.2806853112045643	FALSE	FALSE	FALSE	FALSE	FALSE
MCP-2	7	0.2685002033687842	0.02042980880385654	0.0391084911388111	TRUE	P80075	132	18	-2.6788499999999997	-2.5355999999999996	0.1432500000000001	0.15735388658437696	0.2806853112045643	FALSE	FALSE	TRUE	FALSE	FALSE
CST5	7	-0.43777357905783776	5.90680381326996e-4	0.00197877927744543	TRUE	P28325	128	17	-0.12445	-0.2194	-0.09495	0.18535722517809017	0.32193623320405135	FALSE	FALSE	TRUE	FALSE	FALSE
TNFRSF9	7	-0.291693109515914	0.01442222217065417	0.0311706092075429	TRUE	Q07011	128	17	-0.006449999999999999	-0.2844	-0.27795	0.19789782779118914	0.3349040162620124	FALSE	FALSE	TRUE	FALSE	FALSE
CDCP1	7	NA	NA	NA	NA	Q9H5V8	128	17	1.2362	1.393	0.15680000000000005	0.21104814079527492	0.3482294323122036	FALSE	FALSE	FALSE	FALSE	FALSE
uPA	7	0.2969634961647899	0.01916907677966426	0.03777435718345606	TRUE	P00749	125	18	0.1066	0.23275	0.12615	0.2641031844504656	0.42514171155440805	FALSE	FALSE	TRUE	FALSE	FALSE
SCF	7	-0.3002049745650317	0.01548824401718216	0.03242851091097516	TRUE	P21583	127	16	-0.6217	-0.6816	-0.05989999999999995	0.28055894719711283	0.440878345595463	FALSE	FALSE	TRUE	FALSE	FALSE
ST1A1	7	NA	NA	NA	NA	P50225	128	18	3.1654	3.0924500000000004	-0.07294999999999963	0.29894871188255245	0.4588515112615922	FALSE	FALSE	FALSE	FALSE	FALSE
TNF	7	NA	NA	NA	NA	P01375	130	17	1.2461	1.4299	0.18379999999999996	0.3279659530256346	0.485099383967086	FALSE	FALSE	FALSE	FALSE	FALSE
CCL19	7	NA	NA	NA	NA	Q99731	128	18	2.0606	2.23125	0.1706500000000002	0.3393971192062835	0.485099383967086	FALSE	FALSE	FALSE	FALSE	FALSE
FGF-21	7	NA	NA	NA	NA	Q9NSA1	132	18	1.30485	0.9733499999999999	-0.33150000000000013	0.3428907199634541	0.485099383967086	FALSE	FALSE	FALSE	FALSE	FALSE
TGF-alpha	7	NA	NA	NA	NA	P01135	128	18	1.6832	1.8268	0.14359999999999995	0.34544956130989457	0.485099383967086	FALSE	FALSE	FALSE	FALSE	FALSE
DNER	7	-0.45123690336346367	2.638654599666392e-4	9.821658787647126e-4	TRUE	Q8NFT8	121	18	-0.3498	-0.4507	-0.10089999999999999	0.3988018986354136	0.5483526106236937	FALSE	FALSE	TRUE	FALSE	FALSE
CXCL1	7	NA	NA	NA	NA	P09341	121	18	2.5414	2.71795	0.1765500000000002	0.46487506940946366	0.6261582567556041	FALSE	FALSE	FALSE	FALSE	FALSE
FGF-19	7	NA	NA	NA	NA	O95750	121	18	-0.104	-0.34165	-0.23765000000000003	0.5202139548833089	0.6670068044787723	FALSE	FALSE	FALSE	FALSE	FALSE
CCL25	7	-0.41285454048991205	0.00126089899831308	0.00396878067116019	TRUE	O15444	131	16	0.2572	0.2878	0.030600000000000016	0.523791752001562	0.6670068044787723	FALSE	FALSE	FALSE	FALSE	FALSE
STAMBP	7	NA	NA	NA	NA	O95630	128	17	2.4105	2.7978	0.3873000000000002	0.5327538249507515	0.6670068044787723	FALSE	FALSE	FALSE	FALSE	FALSE
AXIN1	7	NA	NA	NA	NA	O15169	128	18	2.1231999999999998	2.14095	0.017750000000000377	0.545725096151934	0.6670068044787723	FALSE	FALSE	FALSE	FALSE	FALSE
IL7	7	NA	NA	NA	NA	P13232	128	18	1.54	1.8071000000000002	0.2671000000000001	0.5457328400280863	0.6670068044787723	FALSE	FALSE	FALSE	FALSE	FALSE
MCP-4	7	NA	NA	NA	NA	Q99616	131	16	1.5491	1.6564	0.10730000000000017	0.6700756101339996	0.8040907321607995	FALSE	FALSE	FALSE	FALSE	FALSE
TNFSF14	7	NA	NA	NA	NA	O43557	128	17	2.78695	2.2782	-0.50875	0.6963413518021819	0.8206880217668573	FALSE	FALSE	FALSE	FALSE	FALSE
SIRT2	7	NA	NA	NA	NA	Q8IXJ6	124	17	3.8682499999999997	3.7396	-0.12864999999999993	0.7158091415579821	0.8266151115547691	FALSE	FALSE	FALSE	FALSE	FALSE
CASP-8	7	NA	NA	NA	NA	Q14790	132	18	4.434699999999999	4.538	0.10330000000000084	0.7264193404572212	0.8266151115547691	FALSE	FALSE	FALSE	FALSE	FALSE
CXCL6	7	-0.3328092797297972	0.0095529237031273	0.02207054786584584	TRUE	P80162	131	16	2.8962	2.79795	-0.09824999999999973	0.7724187568655887	0.8549005168304107	FALSE	FALSE	TRUE	FALSE	FALSE
LAP TGF-beta-1	7	NA	NA	NA	NA	P01137	131	16	1.0092	0.98515	-0.024050000000000127	0.777182288027646	0.8549005168304107	FALSE	FALSE	FALSE	FALSE	FALSE
VEGFA	7	NA	NA	NA	NA	P15692	131	16	1.6941	1.6176499999999998	-0.07645000000000013	0.7915225501999485	0.8564014477573214	FALSE	FALSE	FALSE	FALSE	FALSE
SLAMF1	7	NA	NA	NA	NA	Q13291	130	17	0.7289	0.6136	-0.11529999999999996	0.8202589564791659	0.8731788891552411	FALSE	FALSE	FALSE	FALSE	FALSE
MMP-1	7	NA	NA	NA	NA	P03956	131	16	0.5402	0.8989	0.3587	0.8593046009185201	0.9002238676289259	FALSE	FALSE	FALSE	FALSE	FALSE
CCL11	7	-0.47660257661352323	1.874207516109786e-4	7.38658256349151e-4	TRUE	P51671	131	16	0.3481	0.3292	-0.018900000000000028	0.873983705486445	0.9012956962828964	FALSE	FALSE	TRUE	FALSE	FALSE
ADA	7	NA	NA	NA	NA	P00813	131	16	1.1163	0.9734	-0.14290000000000003	0.8887061811865339	0.9023785839740189	FALSE	FALSE	FALSE	FALSE	FALSE
IL-10RB	7	NA	NA	NA	NA	Q08334	121	18	0.3016	0.30584999999999996	0.004249999999999976	0.902637829307042	0.902637829307042	FALSE	FALSE	FALSE	FALSE	FALSE
IL10	7	0.3727096044906703	0.00181788375085461	0.00507492547113578	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
