Assay	term	contrast	null.value	estimate	std.error	df	statistic	p.value	adj.p.value
CDCP1	Day*srf14	Day7 No - Day7 Yes	0	-0.2377096393913008	0.1017529557089019	964.8223560797084	-2.336144810096211	0.019687693277850155	0.038796336753410605
CDCP1	Day*srf14	Day1 Yes - Day4 Yes	0	0.5012266320241381	0.07405079819976619	1047.644987026658	6.768686418098875	2.1597260940697674e-11	1.4470164830267443e-10
CDCP1	Day*srf14	Day1 Yes - Day7 Yes	0	0.23747350585379015	0.07384613974540559	1048.7121174289691	3.215787672483785	0.0013406264237052128	0.0021975087408666644
CDCP1	Day*srf14	Day4 Yes - Day7 Yes	0	-0.26375312617034796	0.07518609192038189	1036.3527071252702	-3.508004199096405	4.7085007886108865e-4	0.0035587467435842244
CD244	Day*srf14	Day1 No - Day4 No	0	0.08648944329699464	0.04752213698224392	1031.096875724778	1.8199821975453332	0.0690515484264075	0.08897026431864044
CD244	Day*srf14	Day1 No - Day7 No	0	-0.1727296668391445	0.048252194139905995	1037.689976300731	-3.5797266822378955	3.598679520111779e-4	4.727677016617435e-4
CD244	Day*srf14	Day1 No - Day1 Yes	0	0.26191395195941775	0.09693501990670843	1046.5546107423138	2.701953867771289	0.007004806924898129	0.026073447998231927
CD244	Day*srf14	Day1 No - Day4 Yes	0	0.5804752852139363	0.09916914056357153	1097.5520583287032	5.85338626426663	6.354814918649077e-9	7.096209992491469e-8
CD244	Day*srf14	Day1 No - Day7 Yes	0	0.5693638957659515	0.09884870176182604	1090.257955373121	5.7599531973401366	1.0936003170246486e-8	5.2336586600465323e-8
CD244	Day*srf14	Day4 No - Day7 No	0	-0.25921911013613913	0.04778637948162271	1032.4547099200258	-5.4245396480774914	7.237487209652026e-8	2.424558215233429e-7
CD244	Day*srf14	Day4 No - Day1 Yes	0	0.1754245086624231	0.0967497463092386	1041.6103448686051	1.8131779705315036	0.07009210353533654	0.09031097955514517
