Assay	term	Day1	TR1	SRF1	Day2	TR2	SRF2	null.value	estimate	std.error	df	statistic	p.value	adj.p.value	Day	group1	group2	emmean1	emmean2	x1	x2	x_center	y_position	label	x_offset	x_pos
IL6	Day*Allocation*srf14	Day7	Anakinra	No	Day7	Anakinra	Yes	0	-1.1149333469342966	0.11661531560019427	1156.7575829766865	-9.560779741459957	6.751211154516869e-21	4.523311473526302e-19	7	Anakinra.No	Anakinra.Yes	-0.669297719381737	0.44563562755255953	1	3	2	0.6456356275525595	***	-0.15	2.85
MCP-1	Day*Allocation*srf14	Day4	Anakinra	No	Day4	Anakinra	Yes	0	-0.45211740588997507	0.12836776853812554	1292.9209485908868	-3.5220477152385423	4.431366013544779e-4	0.001383973674976756	4	Anakinra.No	Anakinra.Yes	-0.08848725455381808	0.363630151336157	1	3	2	0.563630151336157	**	-0.15	1.85
MCP-1	Day*Allocation*srf14	Day7	Anakinra	No	Day7	Anakinra	Yes	0	-0.6761094808979917	0.12746022159956708	1280.8203813285388	-5.304474387484418	1.3300558944654871e-7	1.1139218116148454e-6	7	Anakinra.No	Anakinra.Yes	-0.07470916302440658	0.6014003178735852	1	3	2	0.8014003178735851	***	-0.15	2.85
TRAIL	Day*Allocation*srf14	Day4	Anakinra	No	Day4	Anakinra	Yes	0	0.5098357898169716	0.12815725140195405	1230.4615247307647	3.9782047776439593	7.348937971761061e-5	4.4761713100726464e-4	4	Anakinra.No	Anakinra.Yes	0.22485615485535976	-0.28497963496161194	1	3	2	0.42485615485535977	***	-0.15	1.85
TRAIL	Day*Allocation*srf14	Day7	Anakinra	No	Day7	Anakinra	Yes	0	0.5557704871011213	0.12730432610470838	1217.4707909554918	4.365684215978628	1.3747861720264867e-5	7.085436425059585e-5	7	Anakinra.No	Anakinra.Yes	0.3995643284499435	-0.15620615865117787	1	3	2	0.5995643284499435	***	-0.15	2.85
CXCL9	Day*Allocation*srf14	Day1	Anakinra	No	Day1	Anakinra	Yes	0	-0.4997552550560328	0.12656157887898892	1079.3665131608032	-3.94871223543972	8.36648758232587e-5	0.0018685155600527777	1	Anakinra.No	Anakinra.Yes	0.005058160552206911	0.5048134156082397	1	3	2	0.7048134156082397	**	-0.15	0.85
CXCL9	Day*Allocation*srf14	Day4	Anakinra	No	Day4	Anakinra	Yes	0	-0.35225956004577264	0.12916048217806725	1122.1452554380444	-2.7273013704000393	0.006485048768078126	0.017379930698449376	4	Anakinra.No	Anakinra.Yes	-0.11012091305765671	0.24213864698811594	1	3	2	0.44213864698811595	*	-0.15	1.85
CXCL9	Day*Allocation*srf14	Day7	Anakinra	No	Day7	Anakinra	Yes	0	-0.6656784082030326	0.12840027032023574	1108.7426917948526	-5.184400364133209	2.574113384355581e-7	1.9162844083535994e-6	7	Anakinra.No	Anakinra.Yes	-0.018714632920552206	0.6469637752824804	1	3	2	0.8469637752824803	***	-0.15	2.85
CST5	Day*Allocation*srf14	Day4	Anakinra	No	Day4	Anakinra	Yes	0	0.48967570957588136	0.12943519222002198	908.86798257536	3.783172885033463	1.6497663346976764e-4	6.981221631963053e-4	4	Anakinra.No	Anakinra.Yes	0.012191588976356832	-0.4774841205995245	1	3	2	0.21219158897635684	***	-0.15	1.85
CST5	Day*Allocation*srf14	Day7	Anakinra	No	Day7	Anakinra	Yes	0	0.41416415601219825	0.12890483354411852	898.229733664564	3.212945121025643	0.001360605980972395	0.003963504379354369	7	Anakinra.No	Anakinra.Yes	0.2309645405378278	-0.18319961547437047	1	3	2	0.43096454053782784	**	-0.15	2.85
