Assay	Day	srf14	emmean	SE	df	lower.CL	upper.CL	group	color_class
TGF-alpha	7	No	-0.03896303439716495	0.05452466822792503	1054.0580218197092	-0.1459522726721419	0.06802620387781201	No	SRF-
TGF-alpha	1	Yes	-0.2718767528002601	0.0966434793416741	1036.5755183115668	-0.46151592069535424	-0.08223758490516592	Yes	SRF+
TGF-alpha	4	Yes	-0.031216099173812885	0.0992854828868373	1093.2480587697262	-0.2260277469809391	0.16359554863331335	Yes	SRF+
TGF-alpha	7	Yes	0.22521794322251043	0.09872964817468095	1081.1973614770775	0.031494525822020225	0.41894136062300064	Yes	SRF+
MCP-4	1	No	-0.20733212304797097	0.053147319820895614	802.7068690545352	-0.311656257212176	-0.10300798888376594	No	SRF-
MCP-4	4	No	0.11055203909652142	0.05310955434468236	800.6957070837104	0.006301640269835346	0.2148024379232075	No	SRF-
MCP-4	7	No	0.3975156784402643	0.05346686677595458	818.2936101353923	0.29256731663825897	0.5024640402422696	No	SRF-
MCP-4	1	Yes	-0.49717457276015903	0.0950323424366075	807.8952670965781	-0.6837140018744636	-0.31063514364585443	Yes	SRF+
MCP-4	4	Yes	0.12576967190752333	0.09666480189969834	849.5890057161683	-0.06396014979848125	0.3154994936135279	Yes	SRF+
MCP-4	7	Yes	0.30733011802658516	0.09632428061618156	840.7154338598764	0.11826581108384304	0.4963944249693273	Yes	SRF+
LIF-R	1	No	0.3177346670679418	0.052367936858050926	974.1586702022832	0.21496771458060288	0.4205016195552807	No	SRF-
LIF-R	4	No	-0.14783499121734212	0.05230809305778602	970.9080327878081	-0.2504849336220175	-0.04518504881266669	No	SRF-
LIF-R	7	No	-0.2971896516645181	0.052849783211435214	997.1020850632125	-0.40089921192221634	-0.19348009140681985	No	SRF-
LIF-R	1	Yes	0.5847089918780303	0.09373227948226695	980.844001519756	0.40077012358059894	0.7686478601754616	Yes	SRF+
LIF-R	4	Yes	0.01928760257424776	0.0961003337722418	1036.3253426350936	-0.16928582832910455	0.20786103347760004	Yes	SRF+
