Assay	Day	srf14	emmean	SE	df	lower.CL	upper.CL
OPG	4	No	-0.10337074406108993	0.0463985078157097	1010.480692148533	-0.19441920489074094	-0.012322283231438927
OPG	7	No	-0.3064922525237721	0.046912304179163436	1037.8236483400697	-0.39854603496322133	-0.21443847008432287
OPG	1	Yes	0.6491571823535343	0.08316506574293991	1020.6521856486856	0.48596312513007234	0.8123512395769962
OPG	4	Yes	0.44765439513737804	0.08539109269424944	1077.1407637640025	0.28010265747774815	0.615206132797008
OPG	7	Yes	0.22209972563908012	0.08492298970689442	1065.118864683052	0.05546436934028637	0.38873508193787387
LAP TGF-beta-1	1	No	-0.023514457609707246	0.053978690560847496	1060.0743559953182	-0.12943167812310813	0.08240276290369365
LAP TGF-beta-1	4	No	-0.04060712385678421	0.053906814094521464	1056.4566226437528	-0.14638372208789288	0.06516947437432447
LAP TGF-beta-1	7	No	0.2223901129012042	0.05454616002885144	1084.6855657967635	0.11536217712017935	0.329418048682229
LAP TGF-beta-1	1	Yes	-0.1674718464174146	0.09665080135541759	1066.7043362440481	-0.35711912030536697	0.022175427470537773
LAP TGF-beta-1	4	Yes	-1.971913782031643e-4	0.09939332988581517	1123.3884133400375	-0.19521465068208033	0.19482026792567397
LAP TGF-beta-1	7	Yes	0.044527647096980774	0.09881586878456484	1111.358605555695	-0.1493590520754029	0.23841434626936447
uPA	1	No	0.35377768317293956	0.05225344739163171	1028.6146514784882	0.25124215773024383	0.4563132086156353
uPA	4	No	-0.15621110907167757	0.05218738327754645	1025.1068617180717	-0.25861741149953615	-0.053804806643818995
uPA	7	No	-0.1035243878822526	0.05277861819992803	1052.7850009819758	-0.20708764083147546	3.886506697026171e-5
uPA	1	Yes	0.6369697530221681	0.09354990676641275	1035.3257466347018	0.45340070490095974	0.8205388011433764
uPA	4	Yes	0.14349173406050802	0.09610319947368487	1091.9883252079344	-0.04507608111228631	0.3320595492333024
uPA	7	Yes	0.13414682392750898	0.09556604726944216	1079.9388845295116	-0.053369345575475596	0.32166299343049354
IL6	1	No	0.33185450347112705	0.04779363894373315	1011.1920059171533	0.2380684358294629	0.4256405711127912
IL6	4	No	-0.21492635066096738	0.047735037369235386	1007.7576444196861	-0.3085978062294756	-0.12125489509245918
IL6	7	No	-0.5804691577063101	0.04826133603147228	1035.032794064086	-0.6751703793037851	-0.4857679361088352
IL6	1	Yes	0.806893166335171	0.08555914651426713	1017.9179412588337	0.6390006906250663	0.9747856420452758
IL6	4	Yes	0.5590775319895799	0.0878407206425268	1074.3624341316831	0.38671870940784475	0.731436354571315
IL6	7	Yes	0.44962039491024475	0.08736097590503944	1062.3482829834766	0.278200728846408	0.6210400609740815
MCP-1	1	No	0.008378455362402934	0.052123251615459526	1109.4169526435523	-0.093892815570267	0.11064972629507287
MCP-1	4	No	-0.09947994172209146	0.05204855718739479	1105.6900088813543	-0.20160503032576677	0.0026451468815838486
MCP-1	7	No	-0.01854795093243669	0.052707076463177065	1134.3084088555108	-0.12196226883143733	0.08486636696656395
MCP-1	1	Yes	0.4052848932132845	0.09334534281542649	1115.7813633983865	0.22213270913081615	0.5884370772957528
MCP-1	4	Yes	0.5940977625094379	0.09614159574042885	1171.560500485006	0.40546882424259045	0.7827267007762854
MCP-1	7	Yes	0.5728453537320426	0.09555210995582603	1159.7708576370562	0.3853710103676293	0.7603196970964559
CXCL11	1	No	0.5177800831928173	0.051179616268956646	970.3470714470955	0.41734460283171276	0.6182155635539219
CXCL11	4	No	-0.15544117154948114	0.05112157888264021	967.1173685774879	-0.2557631770618854	-0.05511916603707691
CXCL11	7	No	-0.31865346011632534	0.05164735802274159	993.1832228833108	-0.42000393213096127	-0.2173029881016894
CXCL11	1	Yes	0.650069975114028	0.09160367616358374	977.0226115487844	0.4703073784932996	0.8298325717347563
CXCL11	4	Yes	0.025884501653724884	0.09390420215296831	1032.3656751997917	-0.15838038376492503	0.2101493870723748
CXCL11	7	Yes	-0.08404907810516274	0.09342109254584796	1020.5666691651743	-0.2673684623116084	0.09927030610128293
AXIN1	1	No	-0.1721429995517774	0.05328932894807741	1123.0435195198359	-0.27670085060314864	-0.06758514850040616
AXIN1	4	No	0.010787946435195749	0.05321151458227635	1119.3009418192019	-0.09361760334929602	0.11519349621968751
AXIN1	7	No	0.29882561407922986	0.05389594433608562	1147.921643291648	0.1930800084854622	0.40457121967299753
AXIN1	1	Yes	-0.35083000301226647	0.09543801137574814	1129.3054115304535	-0.5380857609581207	-0.16357424506641227
AXIN1	4	Yes	-0.15881540365693783	0.0983363951847729	1184.6382422709023	-0.35174831590032596	0.03411750858645027
AXIN1	7	Yes	0.09571476179659645	0.09772519369149286	1172.9585265593025	-0.09602094494670625	0.28745046853989914
TRAIL	1	No	-0.02400869319801839	0.051869744414541286	1055.6534252328465	-0.12578821764965015	0.07777083125361337
TRAIL	4	No	0.21874530318887392	0.05180116002996968	1052.0493198128506	0.11709995626678552	0.32039065011096235
TRAIL	7	No	0.4263163470850913	0.052411732902028364	1080.214828664861	0.3234760093840655	0.5291566847861171
