Assay	Day	srf14	emmean	SE	df	lower.CL	upper.CL
CDCP1	1	Yes	0.4565303131411202	0.09535353995277367	840.0613214595737	0.26937115588610233	0.643689470396138
CDCP1	4	Yes	-0.04469631888301795	0.09731343370839812	889.5058167562198	-0.23568702212644965	0.14629438436041375
CDCP1	7	Yes	0.21905680728733004	0.09702431469823289	882.1654760800205	0.028631380107376425	0.40948223446728366
CD244	1	No	0.23596723784980259	0.05537901247078293	953.8479582615917	0.12728846535967872	0.3446460103399265
CD244	4	No	0.14947779455280796	0.05499065578571957	936.2978968535231	0.041558584252353925	0.257397004853262
CD244	7	No	0.4086969046889471	0.05579532727335458	973.1729722599532	0.2992038958837569	0.5181899134941372
CD244	1	Yes	-0.025946714109615132	0.0915734319170554	936.9901645553423	-0.2056594828584859	0.15376605463925563
CD244	4	Yes	-0.34450804736413376	0.09390757522975081	995.096673257439	-0.528787652562575	-0.1602284421656925
CD244	7	Yes	-0.33339665791614886	0.09356314763515693	986.5509430164896	-0.5170023121136997	-0.14979100371859802
IL7	1	No	-0.03741861642781891	0.05904319332864986	1052.6812510071322	-0.1532743562671636	0.07843712341152578
IL7	4	No	-0.03569225162652835	0.05855754034843503	1033.3686668183316	-0.1505975053082848	0.07921300205522809
IL7	7	No	0.0032411947130070577	0.05956645753502067	1074.1248819051411	-0.1136386187927861	0.12012100821880022
IL7	1	Yes	-0.11476003001189747	0.09751278710837462	1032.2937012353748	-0.3061059293632353	0.07658586933944034
IL7	4	Yes	0.14672910614147924	0.10039090442671494	1093.806280342588	-0.05025141795405269	0.3437096302370112
IL7	7	Yes	0.02474728066568893	0.09996628735542841	1084.886604465003	-0.17140187379224228	0.22089643512362014
OPG	1	No	0.28148429071526604	0.05078954154670436	1029.7229168664337	0.1818214744488636	0.3811471069816685
OPG	4	No	-0.11512913141508963	0.050385337338769154	1010.6859591772322	-0.21400098121676056	-0.01625728161341869
OPG	7	No	-0.2593864756316014	0.051224529196011996	1050.8186889632423	-0.3599004807452959	-0.15887247051790687
OPG	1	Yes	0.6541903471911776	0.08390498676630508	1010.0774056804985	0.48954230314059866	0.8188383912417566
OPG	4	Yes	0.46820445447017917	0.08630789226887745	1071.2388694946853	0.29885275172585357	0.6375561572145048
OPG	7	Yes	0.21614777873009045	0.08595335431822969	1062.3370739246607	0.0474901450558364	0.3848054124043445
LAP TGF-beta-1	1	No	-0.05228803139173431	0.059074793994970946	1080.434415389278	-0.1682023513860565	0.06362628860258789
LAP TGF-beta-1	4	No	-0.030092896592830445	0.05857045058529731	1060.9025295890162	-0.14501998597476679	0.08483419278910588
LAP TGF-beta-1	7	No	0.196876474376397	0.059618991634615155	1102.1756238828054	0.07989693821533517	0.3138560105374588
LAP TGF-beta-1	1	Yes	-0.16674869878241874	0.09753218571335485	1059.2235115266044	-0.3581269519226629	0.024629554357825434
LAP TGF-beta-1	4	Yes	0.025885698136513903	0.1005101742900012	1120.8081718829033	-0.17132358658792782	0.2230949828609556
LAP TGF-beta-1	7	Yes	0.022953552422717197	0.10007088360270125	1111.9213306566319	-0.1733955040435884	0.2193026088890228
uPA	1	No	0.35025654421539926	0.05723942552361388	1051.5184686789453	0.23794005082800782	0.46257303760279067
uPA	4	No	-0.1635014085371466	0.05676937186511314	1032.217817119487	-0.2748979522586597	-0.05210486481563349
uPA	7	No	-0.08003532196952239	0.05774585152177593	1072.9466695441608	-0.19334292823914956	0.03327228430010479
uPA	1	Yes	0.6404639388153887	0.09453511158495768	1031.1672205875504	0.45496078913767074	0.8259670884931065
uPA	4	Yes	0.14370337722311416	0.09732121671606565	1092.668375282701	-0.047254224951301216	0.33466097939752953
uPA	7	Yes	0.12909726967805452	0.09691017243885156	1083.748618853184	-0.0610555426140946	0.31925008197020366
IL6	1	No	0.3538298615753932	0.05203348723670094	1035.001231382301	0.2517267001958075	0.4559330229549789
IL6	4	No	-0.19085960488750994	0.051616151058615736	1015.893490253193	-0.2921460751111432	-0.08957313466387669
IL6	7	No	-0.498558220357049	0.05248272985544535	1056.184982184331	-0.6015404937640666	-0.3955759469500314
IL6	1	Yes	0.8158907331812145	0.0859544437551825	1015.1804976549805	0.6472220253671539	0.9845594409952751
