Assay	term	TP1	TR1	TP2	TR2	null.value	estimate	std.error	df	statistic	p.value	adj.p.value
LAP TGF-beta-1	Day*Allocation	Day1	Anakinra	Day4	Placebo	0	-0.178544147141672	0.10410360314408611	1248.6530526428567	-1.715062128008724	0.08658194470401169	0.14502475737921958
LAP TGF-beta-1	Day*Allocation	Day1	Anakinra	Day7	Placebo	0	-0.11560542500291332	0.10448964103721627	1256.308263275009	-1.106381683919633	0.26877315779580896	0.30521697580202034
LAP TGF-beta-1	Day*Allocation	Day4	Anakinra	Day7	Anakinra	0	-0.2869759473941894	0.07009969505350304	1047.5329892437105	-4.09382590288242	4.569501079349482e-5	1.5307828615820766e-4
LAP TGF-beta-1	Day*Allocation	Day4	Anakinra	Day1	Placebo	0	0.03628538457616451	0.10337369438607477	1234.7596363073278	0.3510117810112089	0.7256393894233826	0.8240311710401125
LAP TGF-beta-1	Day*Allocation	Day4	Anakinra	Day4	Placebo	0	-0.1892744922071481	0.10504170022544235	1263.2261029588649	-1.801898596470962	0.07179969476018756	0.40088162907771385
LAP TGF-beta-1	Day*Allocation	Day4	Anakinra	Day7	Placebo	0	-0.12633577006838942	0.10542314132896209	1270.5278800309036	-1.198368484146869	0.2309970792101621	0.3364522675452361
LAP TGF-beta-1	Day*Allocation	Day7	Anakinra	Day1	Placebo	0	0.3232613319703539	0.10308755513611473	1229.6524541165024	3.135793952466194	0.0017545236584722201	0.003093502239937862
LAP TGF-beta-1	Day*Allocation	Day7	Anakinra	Day4	Placebo	0	0.09770145518704132	0.10475726581607898	1258.3177906609098	0.9326460978713833	0.351181638389243	0.4439465994731939
LAP TGF-beta-1	Day*Allocation	Day7	Anakinra	Day7	Placebo	0	0.1606401773258	0.10514494105546947	1266.0087361786084	1.5277974928061815	0.12681261542464942	0.5304406229187398
LAP TGF-beta-1	Day*Allocation	Day1	Placebo	Day4	Placebo	0	-0.2255598767833126	0.08797206410639723	1060.877112825966	-2.563994366558351	0.010484318735109058	0.01848550934874492
LAP TGF-beta-1	Day*Allocation	Day1	Placebo	Day7	Placebo	0	-0.16262115464455393	0.08843523941583685	1063.693963427483	-1.8388727810175631	0.06621252632004802	0.08531229352775418
LAP TGF-beta-1	Day*Allocation	Day4	Placebo	Day7	Placebo	0	0.06293872213875866	0.08978248116172773	1056.4292943447656	0.7010133973172935	0.4834490295153083	0.5998349069912159
uPA	Day*Allocation	Day1	Anakinra	Day4	Anakinra	0	0.48855298064624364	0.06605575935679192	1063.2430842890958	7.396069402629767	2.8395648127022495e-13	1.0013202234265827e-12
uPA	Day*Allocation	Day1	Anakinra	Day7	Anakinra	0	0.476257224655935	0.06578716409343568	1066.0495524189514	7.239363958287061	8.613983065009844e-13	2.2197571744448445e-12
uPA	Day*Allocation	Day1	Anakinra	Day1	Placebo	0	-0.007039379999177236	0.09901590882557186	1186.4024675591568	-0.07109342410397838	0.9433353835737244	0.9870910223374412
uPA	Day*Allocation	Day1	Anakinra	Day4	Placebo	0	0.5149261536993995	0.10059329166033212	1216.8114405910678	5.118891580147537	3.56920034527074e-7	1.9928035261094965e-6
uPA	Day*Allocation	Day1	Anakinra	Day7	Placebo	0	0.4583619306671436	0.10095350041011646	1224.6025548373564	4.540327267554673	6.170240621777158e-6	1.7173953494661027e-5
uPA	Day*Allocation	Day4	Anakinra	Day7	Anakinra	0	-0.01229575599030864	0.0663288816868976	1045.2601904845549	-0.1853755962349883	0.8529704119244732	0.8929533999834329
uPA	Day*Allocation	Day4	Anakinra	Day1	Placebo	0	-0.4955923606454209	0.09991100299798793	1202.6182756877104	-4.960338158705118	8.047172701102142e-7	4.493004758115362e-6
uPA	Day*Allocation	Day4	Anakinra	Day4	Placebo	0	0.02637317305315586	0.1014749294963251	1231.9961919053849	0.2598984121896923	0.7949855618394815	0.9135777400542677
