Assay	term	Sum Sq	Mean Sq	NumDF	DenDF	F value	Pr(>F)	adj.p.value
CXCL1	srf14	0.43101384295130735	0.43101384295130735	1	582.1375581901365	0.8869848240600897	0.3466863591777455	0.3936946790662534
CXCL1	DEXcorrected	7.158880240716886	7.158880240716886	1	569.1263287429332	14.732283509272055	1.3779247095107707e-4	5.430644443365979e-4
CXCL1	cbmi	0.5329777404548272	0.5329777404548272	1	566.6649195064834	1.0968166685975234	0.2954122669223594	0.4824391564705174
CXCL1	Age	1.4117170888620518	1.4117170888620518	1	568.6737129717911	2.905177302689069	0.0888417631361097	0.13528177568453068
CXCL1	Gender	1.4934164817340396	1.4934164817340396	1	571.6517307228036	3.073306755599849	0.08012342212199244	0.14508835897766198
CXCL1	Day:srf14	1.544671509773698	0.772335754886849	2	1054.471729858816	1.5893923243226786	0.20453800924318344	0.31869875858821606
CCL4	Day	101.56741628916323	50.78370814458162	2	1042.1609167056645	127.9051989346017	2.1146432332368322e-50	1.2880099693351614e-49
CCL4	srf14	0.15530825867270712	0.15530825867270712	1	576.0308394883546	0.39116351380179115	0.5319361390208531	0.5748342147483413
CCL4	DEXcorrected	0.8822252612531101	0.8822252612531101	1	564.2305949196697	2.22199602330043	0.13661586550313157	0.19898397801543077
CCL4	cbmi	2.7913296655075315	2.7913296655075315	1	562.0916299913913	7.030317186416192	0.008240216533045389	0.040139229810741237
CCL4	Age	0.007336988557642165	0.007336988557642165	1	563.9989740861715	0.018479134654255148	0.8919188144789623	0.9054327359104617
CCL4	Gender	2.463272738981044	2.463272738981044	1	566.7070351019297	6.20406428007498	0.013030872998639172	0.0379594996047315
CCL4	Day:srf14	0.7375707182250647	0.36878535911253235	2	1042.1658354286233	0.9288326206342565	0.3953413227760725	0.5253042839926465
CD6	Day	6.251822364376998	3.125911182188499	2	1054.4796446611235	7.694245950742289	0.00048148115262142865	5.97393281956217e-4
CD6	srf14	7.4680879185290765	7.4680879185290765	1	587.2475970549369	18.382257805130664	2.1125309999197043e-5	7.449451420769484e-5
CD6	DEXcorrected	1.8437900271283012	1.8437900271283012	1	575.0649671354315	4.538380370845568	0.03356670061005693	0.06425625545353757
CD6	cbmi	1.6377475666005077	1.6377475666005077	1	572.8348545704496	4.031219010461991	0.04513473505236511	0.13147944558732444
CD6	Age	1.8573224610601744	1.8573224610601744	1	574.7848810748845	4.571689658574948	0.032925520824219484	0.05656435628776167
CD6	Gender	12.754179686149744	12.754179686149744	1	577.5794396232393	31.39366081940058	3.264049345774461e-8	1.0934565308344446e-6
CD6	Day:srf14	9.60854938494794	4.80427469247397	2	1054.4842881515942	11.825438710303196	8.33728155602183e-6	7.97996948933518e-5
SCF	Day	63.03770759153914	31.51885379576957	2	1041.1372956694656	94.34953816075226	2.199952735462923e-38	1.052834523400113e-37
SCF	srf14	4.263251622351647	4.263251622351647	1	580.8791226029628	12.761752830172505	3.831254230233904e-4	8.851518393988675e-4
SCF	DEXcorrected	5.712476840363103	5.712476840363103	1	570.2652760588369	17.099909632963623	4.079980068425751e-5	2.1027589583425026e-4
SCF	cbmi	0.8557996894065448	0.8557996894065448	1	568.4116121558401	2.561777975075355	0.1100310106234044	0.24573592372560316
SCF	Age	2.515285182703584	2.515285182703584	1	570.1927262325106	7.5293345649047305	0.006261347688217023	0.013109696722204392
SCF	Gender	3.3806887991926935	3.3806887991926935	1	572.6346636392736	10.119861240381468	0.0015461951817569047	0.00783240134846264
SCF	Day:srf14	4.675027025715437	2.3375135128577185	2	1041.1429679057976	6.9971872014027525	9.580806988410616e-4	0.00493780052479624
IL18	Day	65.26665055677714	32.63332527838857	2	1027.067218852572	195.79451549928217	9.170105197842446e-73	8.777100689363483e-72
IL18	srf14	0.3041717134926265	0.3041717134926265	1	583.7881734540342	1.8249796109903547	0.1772450299909495	0.23285131390967873
IL18	DEXcorrected	0.5331545032615115	0.5331545032615115	1	577.9971459190335	3.198838204866593	0.07421422109392305	0.1274962259818678
IL18	cbmi	1.4494191222571593	1.4494191222571593	1	577.0843776891649	8.696273284343299	0.003317743909615851	0.027786105243032752
IL18	Age	0.08609321548451321	0.08609321548451321	1	578.1489308199234	0.5165449512044927	0.47260960103410976	0.5459455736083682
IL18	Gender	1.4375763837689188	1.4375763837689188	1	579.490600371444	8.625218826217779	0.0034470999520293533	0.014434731049122917
IL18	Day:srf14	1.0101159810048774	0.5050579905024387	2	1027.0727694158031	3.0302638087254437	0.0487349733327593	0.1255862774344182
SLAMF1	Day	4.119914206587105	2.0599571032935526	2	1051.8242581409097	3.978027328883517	0.0190049128277792	0.021222152657686774
